"A.J.M. Teacher",,,,
"Anthony Thompson",,,,
"Ashiq Hussain",,,,
"Bill McComish","Q75975446","2019 United Kingdom general election","Aldridge-Brownhills","Green Party of England and Wales"
"Celia M. Downie",,,,
"Clive Duncan",,,,
"Glynn Betteridge",,,,
"Graham Eardley","Q63929032","2019 European Parliament election in West Midlands","West Midlands","UK Independence Party"
"Ian D. Geary",,,,
"Ian Garrett","Q75838684","2019 United Kingdom general election","Aldridge-Brownhills","Liberal Democrats"
"J.A. Crofton",,,,
"Janos Toth",,,,
"John D. Phillips",,,,
"John D. Rothery",,,,
"John Fisher",,,,
"Karl Macnaughton",,,,
"Mark Beech","Q76130552","2019 United Kingdom general election","Aldridge-Brownhills","Official Monster Raving Loony Party"
"Martyn Curzey",,,,
"Monica Howes",,,,
"Neil E. Fawcett",,,,
"P.G. Gunn",,,,
"R.T. Burford",,,,
"Roy M. Sheward",,,,
"Stewart Reynolds",,,,
"Sue Gray",,,,
"Tom Keen",,,,
"William R. Vaughan",,,,
