foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q19917814,Wendy Morton,Q9626,Conservative Party (UK),27850,Q30173038,General election 2019,1
,,David Morgan,Q9630,Labour Party (UK),8014,Q30173038,General election 2019,2
Q75838684,,Ian Garrett,Q9624,Liberal Democrats (UK),2371,Q30173038,General election 2019,3
Q75975446,,Bill McComish,Q9669,Green Party of England and Wales,771,Q30173038,General election 2019,4
Q76130552,,Mark Beech,Q1421227,Official Monster Raving Loony Party,336,Q30173038,General election 2019,5
,Q19917814,Wendy Morton,Q9626,Conservative Party (UK),26317,Q25052149,General election 2017,1
,,John Fisher,Q9630,Labour Party (UK),12010,Q25052149,General election 2017,2
Q75838684,,Ian Garrett,Q9624,Liberal Democrats (UK),1343,Q25052149,General election 2017,3
Q76130552,,Mark Beech,Q1421227,Official Monster Raving Loony Party,565,Q25052149,General election 2017,4
,Q19917814,Wendy Morton,Q9626,Conservative Party (UK),20558,Q3586935,General election 2015,1
,,John Fisher,Q9630,Labour Party (UK),8835,Q3586935,General election 2015,2
,,Anthony Thompson,Q10647,UK Independence Party,7751,Q3586935,General election 2015,3
Q75838684,,Ian Garrett,Q9624,Liberal Democrats (UK),1330,Q3586935,General election 2015,4
,,Martyn Curzey,Q9669,Green Party of England and Wales,826,Q3586935,General election 2015,5
Q76130552,,Mark Beech,Q1421227,Official Monster Raving Loony Party,197,Q3586935,General election 2015,6
,Q392533,Richard Shepherd,Q9626,Conservative Party (UK),22913,Q215622,General election 2010,1
,,Ashiq Hussain,Q9630,Labour Party (UK),7647,Q215622,General election 2010,2
,,Ian Jenkins,Q9624,Liberal Democrats (UK),6833,Q215622,General election 2010,3
,,Karl Macnaughton,Q9669,Green Party of England and Wales,847,Q215622,General election 2010,4
,,Sue Gray,Q3402978,Christian Party (UK),394,Q215622,General election 2010,5
,Q392533,Richard Shepherd,Q9626,Conservative Party (UK),18744,Q428598,General election 2005,1
,,John D. Phillips,Q9630,Labour Party (UK),13237,Q428598,General election 2005,2
,,Roy M. Sheward,Q9624,Liberal Democrats (UK),4862,Q428598,General election 2005,3
,,William R. Vaughan,Q161269,British National Party,1620,Q428598,General election 2005,4
Q63929032,,Graham Eardley,Q10647,UK Independence Party,1093,Q428598,General election 2005,5
,Q392533,Richard Shepherd,Q9626,Conservative Party (UK),18974,Q590740,General election 2001,1
,,Ian D. Geary,Q9630,Labour Party (UK),15206,Q590740,General election 2001,2
,,Monica Howes,Q9624,Liberal Democrats (UK),3251,Q590740,General election 2001,3
,,John D. Rothery,Q7551508,Socialist Alliance (England),379,Q590740,General election 2001,4
,Q392533,Richard Shepherd,Q9626,Conservative Party (UK),21856,Q918503,General election 1997,1
,,Janos Toth,Q9630,Labour Party (UK),19330,Q918503,General election 1997,2
,,Celia M. Downie,Q9624,Liberal Democrats (UK),5184,Q918503,General election 1997,3
,Q392533,Richard Shepherd,Q9626,Conservative Party (UK),28431,Q543609,General election 1992,1
,,Neil E. Fawcett,Q9630,Labour Party (UK),17407,Q543609,General election 1992,2
,,Stewart Reynolds,Q9624,Liberal Democrats (UK),6503,Q543609,General election 1992,3
,Q392533,Richard Shepherd,Q9626,Conservative Party (UK),26434,Q918472,General election 1987,1
,,Clive Duncan,Q9630,Labour Party (UK),14038,Q918472,General election 1987,2
,,Glynn Betteridge,Q40052,Social Democratic Party (UK),9084,Q918472,General election 1987,3
,Q392533,Richard Shepherd,Q9626,Conservative Party (UK),24148,Q918466,General election 1983,1
,,R.T. Burford,Q9630,Labour Party (UK),11864,Q918466,General election 1983,2
,,P.G. Gunn,Q40052,Social Democratic Party (UK),11599,Q918466,General election 1983,3
,Q392533,Richard Shepherd,Q9626,Conservative Party (UK),26289,Q918450,General election 1979,1
,Q5534581,Geoff Edge,Q9630,Labour Party (UK),20621,Q918450,General election 1979,2
,,John Aldridge,Q622441,Liberal Party (UK),5398,Q918450,General election 1979,3
,Q5534581,Geoff Edge,Q9630,Labour Party (UK),21403,Q918508,General election October 1974,1
,,A.J.M. Teacher,Q9626,Conservative Party (UK),18884,Q918508,General election October 1974,2
,,J.A. Crofton,Q622441,Liberal Party (UK),8693,Q918508,General election October 1974,3
,,Tom Keen,Q5027823,Campaign for a More Prosperous Britain,210,Q918508,General election October 1974,4
,Q5534581,Geoff Edge,Q9630,Labour Party (UK),19642,Q119524,General election February 1974,1
,Q7145639,Patricia Hornsby-Smith,Q9626,Conservative Party (UK),19276,Q119524,General election February 1974,2
,,J.A. Crofton,Q622441,Liberal Party (UK),11883,Q119524,General election February 1974,3
